[DATA] Client: 24fc8529-ea14-4a07-a2cc-5228efcd4dbc | Fuel: 33.5712 | Consumption: 0
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5597 | Consumption: 0.000301361
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5594 | Consumption: 0.000354767
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.559 | Consumption: 0.000362396
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5586 | Consumption: 0.00037384
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5582 | Consumption: 0.000377655
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5579 | Consumption: 0.00038147
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5575 | Consumption: 0.000377655
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5571 | Consumption: 0.00038147
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5567 | Consumption: 0.00037384
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5563 | Consumption: 0.00038147
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.556 | Consumption: 0.000377655
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5556 | Consumption: 0.000377655
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5552 | Consumption: 0.00038147
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5548 | Consumption: 0.000377655
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.571 | Consumption: 0
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.571 | Consumption: 0
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.571 | Consumption: 0
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.571 | Consumption: 0
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.571 | Consumption: 0
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.571 | Consumption: 0
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5712 | Consumption: 0
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.571 | Consumption: 0
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.571 | Consumption: 0
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.571 | Consumption: 0
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.571 | Consumption: 0
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.571 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.571 | Consumption: 0
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: d738364b-6e23-4937-b9d9-703238562655 | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: 3aa902dc-aa6e-4bd9-87e0-acb68557699c | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: d4b7435d-dad7-44bc-8716-6efbae96f84b | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: 37e79b31-bc54-4575-bbae-a51c107708f6 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: 81ba7f63-da89-4859-b922-948fea772033 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: b3322ef3-b602-445d-8215-ee668cc52711 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: a222c6b9-29b6-4e39-93f3-b7c32da4627e | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: 954b972b-a5fd-4058-a1ec-f8cff8543823 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: f58b51c4-3979-46d1-b60b-fdf4dcb80a17 | Fuel: 33.5658 | Consumption: 0.000362396
[DATA] Client: e150abb0-a2f2-4d50-b569-b846f9c1b997 | Fuel: 33.5658 | Consumption: 0.000362396
[DATA] Client: 335de5d5-cd2d-4fc7-8a9a-c7446df1f66c | Fuel: 33.5658 | Consumption: 0.000362396
[DATA] Client: a54c9e27-cdf8-45c1-995a-96b24a556940 | Fuel: 33.5658 | Consumption: 0.000362396
